part_of_speech,gloss,target_child_age,corpus_name,speaker_role,age,role
v cl adj n on,有 个 小 鸭子 嘎嘎 嘎嘎 嘎,36.00073923489189,ZhouNarratives,Target_Child,36,child
co on,噢 嘎嘎 嘎 嘎,36.00073923489189,ZhouNarratives,Investigator,36,adult
on,嘣,36.00073923489189,ZhouNarratives,Target_Child,36,child
on co on,呜呜 啊 呜呜,36.00073923489189,ZhouNarratives,Target_Child,36,child
on,啪,36.00073923489189,ZhouNarratives,Target_Child,36,child
on,嘘,36.00073923489189,ZhouNarratives,Target_Child,36,child
on,嘘,36.00073923489189,ZhouNarratives,Target_Child,36,child
on co v,啪 嗒 xxx 摔跤,48.000985646522516,ZhouNarratives,Target_Child,48,child
on num cl num cl adv adj adv adj nom n prep n post v asp v,啵 一 声 一 条 小 一 条 又 小 又 饿 的 毛毛虫 从 蛋 里 爬 了 出来,60.00123205815314,ZhouNarratives,Target_Child,60,child
on num cl num cl adv adj adv adj nom n prep n post v v,吱 一 声 一 条 又小又 一 条 又 小 又 饿 的 毛毛虫 从 蛋 里 爬 出来,60.00123205815314,ZhouNarratives,Target_Child,60,child
on num cl num cl adv adj adv adj nom n prep n post v asp v,啪 一 声 一 条 又 小 又 饿 的 毛毛虫 从 蛋 里 爬 了 出来,60.00123205815314,ZhouNarratives,Target_Child,60,child
on num cl num cl adv adj adv adj nom n prep n post v asp v,啪 一 声 一 条 又 小 又 饿 的 毛毛虫 从 蛋 里 爬 了 出来,72.00147846978378,ZhouNarratives,Target_Child,72,child
on num cl num cl adv adj adv adj nom n prep n post v asp v,啵 一 声 一 条 又 小 又 饿 的 毛毛虫 从 蛋 里 爬 了 出来,72.00147846978378,ZhouNarratives,Target_Child,72,child
on num cl num cl adj n prep cl n post v v,嘭 一 声 一 条 小 毛毛虫 从 蛋 从 个 蛋 里 爬 出来,72.00147846978378,ZhouNarratives,Target_Child,72,child
v:cop pro:wh on sfp,是 什么 啵 啊,72.00147846978378,ZhouNarratives,Target_Child,72,child
on num cl num cl adv adj adv adj nom n prep n post v asp v,啵 一 声 一 条 又 小 又 饿 的 毛毛虫 从 蛋 里 爬 了 出来,72.00147846978378,ZhouNarratives,Target_Child,72,child
adv pro on adv v n asp,然后 它 啪 一下子 变成 蝴蝶 了,72.00147846978378,ZhouNarratives,Target_Child,72,child
prep pro v v adv v asp num cl prep pro adv on v asp,嘭 把 他们 丢 下去 又 打 了 一 个 把 他 也 嘭 倒 了,48.000985646522516,ZhouNarratives,Target_Child,48,child
n v v:resc asp n on,轮胎 破 掉 了 轮胎 啪,48.000985646522516,ZhouNarratives,Target_Child,48,child
adj n on on on on sfp post adv v asp pro:wh sfp,小 汽车 呜 呜 呜 呜 啊 这里 又 发生 了 什么 呀,48.000985646522516,ZhouNarratives,Investigator,48,adult
n adv v:dirc adj nom v neg asp n v on poss adj adj v:cop pro:wh sfp,马 都 走 慢慢 的 找 不 着 人 睡觉 轰隆 的 巨 响 是 什么 呀,48.000985646522516,ZhouNarratives,Target_Child,48,child
on adv adv sfp v v,嘘 嘘 好 然后 呢 继续 讲,48.000985646522516,ZhouNarratives,Investigator,48,adult
adv pro adv v v:resc num cl n n v cpt adv v adv adj n n adv on nom prep post v,然后 他们 就 变 成 三 块 石头 小朋友 吓 得 四处 逃 连 小 狗 狗 也 汪汪 的 在 后面 跟着,48.000985646522516,ZhouNarratives,Target_Child,48,child
pro adv v pro cl on v pro v cpt adv adv adv adv adv adj,他 就 拿 这 个 咚 让 它 吹 得 很 响 很 响 很 响 很 响 很 响,48.000985646522516,ZhouNarratives,Target_Child,48,child
adv pro adv v asp n on,然后 他 就 拿 着 枪 砰 砰,48.000985646522516,ZhouNarratives,Target_Child,48,child
pro on n v n adv prep pro v prep asp n,他 哇哇 地 叫 强盗 就 把 他 留 在 了 家,48.000985646522516,ZhouNarratives,Target_Child,48,child
adv pro prep n v post n adv v v:resc adv n asp num cl n conj adv cl v:aux v nom pro cl n adv n adv v post adv v:aux prep pro cl n pro cl n prep v n adv adv sfp pro adv:wh cl n adj n v:dirc adv sfp pro adv adj asp n adv prep quant n adv prep v v asp adv sfp n sfp adv pro adv v n adv adv on pro cl co:int n pro:wh cl n prep n prep v asp,然后 他们 在 枪 放 这里 喇叭 也 夹 住 然后 用 了 一 个 喇叭 和 一 个 可以 收缩 的 那 个 东西 然后 喇叭 一 吹 之后 就 可以 把 这 个 东西 这 个 武器 给 吹 站 起来 然后 呢 这 几 个 人 过 桥 去 然后 呢 他 一直 对 着 武器 然后 把 这些 人 都 给 吓 跑 了 然后 呢 马 呢 就 他 一 吹 喇叭 然后 就 嘣 那 个 就是 用 哪 个 武器 把 轮胎 给 打断 了,48.000985646522516,ZhouNarratives,Target_Child,48,child
adj on v v n,怪 呼呼 戴 顶 帽子,72.00147846978378,ZhouNarratives,Target_Child,72,child
adj on v nom n,大声 哇哇 叫 的 话,36.00073923489189,ZhouDinner,Adult,36,adult
sfp on,啊 呜,14.000287480235734,Zhou1,Target_Child,14,child
sfp on sfp,啊 呜 啊,14.000287480235734,Zhou1,Mother,14,adult
on on,嘎 嘎,14.000287480235734,Zhou1,Target_Child,14,child
on on,嘎 嘎,14.000287480235734,Zhou1,Mother,14,adult
