part_of_speech,gloss,target_child_age,corpus_name,speaker_role,age,role,reduplicationmaybespace,reduplication
n post n:name poss,苹果 里面 甜甜 的,42.0008624407072,AcadLang,Target_Child,42,child,甜甜,甜甜
n:prop,Apple,37.00075976919444,AcadLang,Target_Child,37,child,pp,pp
adj nom,香香甜甜 的,37.00075976919444,AcadLang,Target_Child,37,child,香香,香香
v nom,滑滑 的,72.00147846978378,AcadLang,Target_Child,72,child,滑滑,滑滑
n:name poss,甜甜 的,72.00147846978378,AcadLang,Target_Child,72,child,甜甜,甜甜
conj v:cop adj nom,但是 是 黑色 的,72.00147846978378,AcadLang,Target_Child,72,child,是 是,是是
co:int n nom,就是 杠杠 的,50.00102671512762,AcadLang,Target_Child,50,child,杠杠,杠杠
n n,长颈鹿 长颈鹿,72.00147846978378,AcadLang,Target_Child,72,child,长颈鹿 长颈鹿,长颈鹿长颈鹿
co v v n,哦 讲 讲 苹果,70.00143740117866,AcadLang,Adult,70,adult,讲 讲,讲讲
n n n,苹果 英文 apple,72.00147846978378,AcadLang,Target_Child,72,child,pp,pp
adj nom adj nom co,脆 的 甜 的 嘿嘿,72.00147846978378,AcadLang,Target_Child,72,child,嘿嘿,嘿嘿
pro poss n post adv v:cop adj nom,它 的 肉 里面 也 是 白白 的,44.00090350931231,AcadLang,Target_Child,44,child,白白,白白
n nom,圆圆 的,37.00075976919444,AcadLang,Target_Child,37,child,圆圆,圆圆
pro poss n v:cop pro:wh n nom,它 的 肉肉 是 什么 颜色 的,72.00147846978378,AcadLang,Adult,72,adult,肉肉,肉肉
adj adj n n,黄 黄 橘黄 蓝,37.00075976919444,AcadLang,Target_Child,37,child,黄 黄,黄黄
pro pro adv v:aux v n v:dirc v pro:wh,我 们 平时 可以 拿 肉肉 来 做 什么,72.00147846978378,AcadLang,Adult,72,adult,肉肉,肉肉
n adj nom,苹果 红红 的,72.00147846978378,AcadLang,Target_Child,72,child,红红,红红
n n,苹果 apple,48.000985646522516,AcadLang,Target_Child,48,child,pp,pp
adv adv v sfp,还 还 有 吗,37.00075976919444,AcadLang,Target_Child,37,child,还 还,还还
conj pro n post adv v num cl adj nom,而且 它 顶 上 还 有 一 个 黑黑 的,72.00147846978378,AcadLang,Target_Child,72,child,黑黑,黑黑
v asp post v nom,洗 了 以后 滑滑 的,72.00147846978378,AcadLang,Target_Child,72,child,滑滑,滑滑
v:aux v v asp post v v:resc v:dirc v,可以 洗 洗 了 以后 切 开 来 吃,48.000985646522516,AcadLang,Target_Child,48,child,洗 洗,洗洗
n nom,圆圆 的,70.00143740117866,AcadLang,Target_Child,70,child,圆圆,圆圆
adj cleft v:cop pro:wh sfp,黑黑 的 是 什么 呀,72.00147846978378,AcadLang,Adult,72,adult,黑黑,黑黑
n nom,圆圆 的,70.00143740117866,AcadLang,Adult,70,adult,圆圆,圆圆
adj cleft co:int pro poss n,黑黑 的 就是 它 的 柄子,72.00147846978378,AcadLang,Target_Child,72,child,黑黑,黑黑
v:cop adj nom,是 甜蜜蜜 的,70.00143740117866,AcadLang,Target_Child,70,child,蜜蜜,蜜蜜
n poss adj nom,香香 的 脆脆 的,48.000985646522516,AcadLang,Target_Child,48,child,香香,香香
co v:cop adj nom sfp,哦 是 甜蜜蜜 的 啊,70.00143740117866,AcadLang,Adult,70,adult,蜜蜜,蜜蜜
n:name poss,甜甜 的,70.00143740117866,AcadLang,Target_Child,70,child,甜甜,甜甜
adv v num adv adv quant poss adj v v:resc num cl n,还 有 一 点 那么 多 的 红色 围 成 一 个 圈圈,72.00147846978378,AcadLang,Target_Child,72,child,圈圈,圈圈
v v:aux v adj,还还 可以 解 渴,48.000985646522516,AcadLang,Target_Child,48,child,还还,还还
n n,火 火锅,70.00143740117866,AcadLang,Target_Child,70,child,火 火,火火
adj nom,软软 的,72.00147846978378,AcadLang,Target_Child,72,child,软软,软软
v cleft post adv v n,圆圆 的 这里 还 有 叶子,49.001006180825065,AcadLang,Target_Child,49,child,圆圆,圆圆
adj poss adj,稠稠 的 浓,48.000985646522516,AcadLang,Target_Child,48,child,稠稠,稠稠
v adv v:cop adj,吃 起来 是 甜甜的,72.00147846978378,AcadLang,Target_Child,72,child,甜甜,甜甜
pro v:cop n adj nom,这 是 圆圆 红红 的,70.00143740117866,AcadLang,Target_Child,70,child,圆圆,圆圆
adv nom sfp adj pro pro v quant num cl v:cop pro:wh,这样 的 呀 好 我 们 看看 下 一 个 是 什么,48.000985646522516,AcadLang,Adult,48,adult,看看,看看
v n:name poss,酸酸 甜甜 的,36.00073923489189,AcadLang,Target_Child,36,child,酸酸,酸酸
n nom adj nom,圆圆 的 红红 的,70.00143740117866,AcadLang,Adult,70,adult,圆圆,圆圆
v v n:name poss adj sfp,吃 起来 甜甜 的 对 吗,72.00147846978378,AcadLang,Adult,72,adult,甜甜,甜甜
v adv adj nom,有 点 黄黄 的,36.00073923489189,AcadLang,Target_Child,36,child,黄黄,黄黄
v adv adj nom,吃 起来 红红 的,72.00147846978378,AcadLang,Target_Child,72,child,红红,红红
adv v n co,还 有 花纹 呵呵,48.000985646522516,AcadLang,Target_Child,48,child,呵呵,呵呵
v adv adj nom sfp n sfp,吃 起来 红红 的 啊 味道 呢,72.00147846978378,AcadLang,Adult,72,adult,红红,红红
v pro v num cl post pro cl,请 你 介绍 一 下 下面 这 个,70.00143740117866,AcadLang,Adult,70,adult,下 下,下下
adv adv num cl,就 就 两 个,72.00147846978378,AcadLang,Target_Child,72,child,就 就,就就
v adv v nom,闻 起来 酸酸 的,70.00143740117866,AcadLang,Target_Child,70,child,酸酸,酸酸
v adv v nom sfp co adj,闻 起来 酸酸 的 啊 嗯 好,70.00143740117866,AcadLang,Adult,70,adult,酸酸,酸酸
n poss n v:cop adj nom,苹果 的 皮 是 红红 的,50.00102671512762,AcadLang,Target_Child,50,child,红红,红红
v:cop sfp co,是 呀 哈哈,36.00073923489189,AcadLang,Target_Child,36,child,哈哈,哈哈
pro v nom,这 圆圆 的,70.00143740117866,AcadLang,Target_Child,70,child,圆圆,圆圆
n adv v:cop adj nom,皮球 也 是 软软 的,72.00147846978378,AcadLang,Target_Child,72,child,软软,软软
adj pro pro v quant adv n v:cop pro:wh,好 我 们 看看 下 一 页 是 什么,36.00073923489189,AcadLang,Adult,36,adult,看看,看看
pro adv v nom,它 又 酸酸 的,72.00147846978378,AcadLang,Target_Child,72,child,酸酸,酸酸
pro poss n adj nom,它 的 把子 黑黑 的,50.00102671512762,AcadLang,Target_Child,50,child,黑黑,黑黑
