code,title,year,imdb.rating,imdb.votes,genre,line.id,character.id,character,line
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545913,u2897,B'ETOR,Full disruptors.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545912,u2905,LURSA,Target their Bridge.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545882,u2897,B'ETOR,"I don't know. He bathed, now he is roaming the ship. He must be the only Engineer in Starfleet who does not go to Engineering!"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545881,u2905,LURSA,Where is he now?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545872,u2897,B'ETOR,Then when is he going to Engineering?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545871,u2905,LURSA,He is.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545870,u2897,B'ETOR,I thought he was the Chief Engineer.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545860,u2897,B'ETOR,Where is he?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545859,u2905,LURSA,It's working.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545849,u2905,LURSA,We'll consider it a prisoner exchange.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545848,u2897,B'ETOR,The Captain would make a much more valuable hostage.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545692,u2905,LURSA,HoS qorDu. 
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545691,u2897,B'ETOR,Toh-pak-cha=8A 
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545378,u2903,KIRK,"Yes, well, congratulations, Ensign. It wouldn't be the Enterprise without a Sulu at the helm."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545377,u2898,CHEKOV,"Twelve years, sir."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545376,u2903,KIRK,But that wasn't so long ago. It couldn't have been more than...
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545358,u2903,KIRK,"I don't want to hear anymore about it. I'm not going, and that's final."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545357,u2898,CHEKOV,Captain=8A
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545353,u2898,CHEKOV,Captain. Perhaps you have forgotten that tomorrow is the christening ceremony.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545352,u2903,KIRK,Tomorrow I want to make a tri-elliptical jump. That's where you jump out over Northern China and make three complete orbits before you start re-entry.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545349,u2903,KIRK,Thanks for pointing that out.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545348,u2898,CHEKOV,"Actually, Captain, your precise target area was thirty-five meters that way."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545833,u2906,PICARD,I have to find a way to get to Soran.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545832,u2899,DATA,"Approximately forty-seven minutes, sir."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545828,u2899,DATA,"Sorry, sir.  There is too much interference in the planet's ionosphere for an accurate reading."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545827,u2906,PICARD,Commander.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545826,u2899,DATA,"""Lifeforms tiny little lifeforms. Where are the lifeforms-"""
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545802,u2899,DATA,Approximately two hundred thirty million.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545801,u2906,PICARD,Population?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545800,u2899,DATA,"Veridian III is uninhabited, but Veridian IV supports a pre-industrial humanoid society."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545799,u2906,PICARD,Are any of them inhabited?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545798,u2906,PICARD,And destroy every planet in the system.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545797,u2899,DATA,"It should be noted, sir, that the collapse of the Veridian star would produce a shock wave similar to the one we observed at Amargosa."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545796,u2906,PICARD,That's where he's going.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545793,u2899,DATA,"Yes, sir. There are two in the Veridian system."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545792,u2906,PICARD,"He can't go to the ribbon, so he's trying to make the ribbon come to him.  Data, is it going to pass near any M-Class planets?"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545789,u2899,DATA,I believe so.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545788,u2906,PICARD,"Now, you said the gravitational forces in this sector have been altered, could that also affect the course of the ribbon?"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545785,u2899,DATA,I believe so.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545784,u2906,PICARD,"Courage is an emotion too, Data.  Now, can you project the course of the ribbon?"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545781,u2906,PICARD,Can you project its course?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545780,u2899,DATA,This is its current position.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545778,u2899,DATA,The destruction of the Amargosa star has altered the gravitational forces throughout the sector. Any ship passing through this region will have to make a minor course correction.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545777,u2906,PICARD,"Wait. The Bozeman,why did it change course?"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545776,u2899,DATA,"According to our current information, the destruction of the Amargosa star has had the following effects in this sector: gamma emissions have increased by .05 percent, the starship Bozeman was forced to make a course correction, a research project on Gorik IV was halted due to increased neutrino particles, ambient magnetic fields have decreased by-"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545775,u2899,DATA,Guilt. It is a most unpleasant feeling.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545774,u2906,PICARD,No. And what you must try to avoid is becoming consumed by another emotion which I believe you're beginning to experience: guilt.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545773,u2899,DATA,"But I did not deal with it, sir. I let it prevent me from helping my friend.  Does that make me a coward?"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545772,u2906,PICARD,Fear is a very difficult emotion to overcome. It's something we all have to learn to deal with.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545771,u2899,DATA,I wanted to save Geordi. I tried. But I experienced something I did not expect.  I believe it was fear.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545770,u2906,PICARD,What do you mean?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545769,u2899,DATA,"No, sir. I am finding it difficult to concentrate. I believe I am overwhelmed with feelings of remorse and regret concerning my actions on the observatory."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545768,u2906,PICARD,"Data, are you all right?"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545767,u2899,DATA,It will take a few moments for the computer to compile the information.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545766,u2906,PICARD,"Give me a list of those effects. I want to know every single thing which has been altered or changed, no matter how insignificant."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545765,u2899,DATA,"The star's destruction has had numerous astro-physical effects within this sector. However, none of them appear to have a connection to the energy ribbon."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545764,u2906,PICARD,"Guinan said Soran was trying to get back to the ribbon. If that's true, then there must be some connection with the Amargosa star."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545763,u2899,DATA,"Sorry, Captain. The ribbon has already entered the galaxy. It will pass through this sector in approximately thirty-one hours."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545762,u2906,PICARD,Data?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545761,u2906,PICARD,When is it expected back?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545760,u2899,DATA,"According to our information, the ribbon is a conflux of temporal energy which travels through our galaxy every 39.1 years"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545926,u2899,DATA,One minute to warp core breach.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545925,u2904,LA FORGE,"That's it, Bridge- we're all out!"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545639,u2904,LA FORGE,We better get you back to the ship  La Forge to Enterprise.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545638,u2899,DATA,I believe the emotional chip has overloaded my positronic relays.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545637,u2904,LA FORGE,"Data, are you all right?"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545635,u2899,DATA,"I am sorry, but I cannot stop myself. I think something is wrong"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545634,u2904,LA FORGE,"Data, this isn't the time."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545625,u2899,DATA,It appears to be a magnetically sealed.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545624,u2904,LA FORGE,"I don't see a control panel, or an access port."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545621,u2904,LA FORGE,Thanks.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545620,u2899,DATA,I know. I just got it.  It was very funny.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545619,u2904,LA FORGE,"The Farpoint mission? Data, that was seven years ago."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545618,u2899,DATA,During the Farpoint mission. We were on the Bridge and you told a joke. That was the punchline.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545617,u2904,LA FORGE,What?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545615,u2904,LA FORGE,You get what?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545614,u2899,DATA,I get it. I get it.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545589,u2899,DATA,I am uncertain. I have had little experience with emotions. I am unable to articulate the sensation.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545588,u2904,LA FORGE,Really? What do you feel?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545587,u2899,DATA,I believe the beverage has provoked an emotional response.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545586,u2904,LA FORGE,Well?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545572,u2899,DATA,Agreed.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545571,u2904,LA FORGE,"But at the first sign of trouble, I'm going to deactivate it. Agreed?"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545569,u2899,DATA,"That is true. However, I believe my growth as an artificial lifeform has reached an impasse. For thirty-four years I have endeavored to become more ""human""- to grow beyond my original programming. And yet I am still unable to grasp such a simple concept as humor. This emotion chip is the only answer."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545568,u2904,LA FORGE,Wait a minute. I thought you've always been afraid it would overload your neural net.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545567,u2899,DATA,It has occurred to me on several occasions. But I believe this may be the appropriate time.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545566,u2904,LA FORGE,"Data, you're not thinking about using that thing are you?"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545565,u2899,DATA,I was attempting to get in the spirit of things. I thought it would be humorous.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545564,u2904,LA FORGE,"No, but I'd stay out of Sickbay for a while if I were you. I still don't know why you dropped her in the water."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545563,u2899,DATA,Is she still angry?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545934,u2907,RIKER,"All hands, brace for impact!"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545933,u2899,DATA,I have rerouted auxiliary power to the lateral thrusters- attempting to level our descent.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545903,u2899,DATA,"Perhaps.  Yes! If we sent a low-level ionic pulse, it might reset the coil and engage the cloaking systems."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545902,u2907,RIKER,Could we access the defective coil and trigger their cloak?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545716,u2899,DATA,"I hope so, sir."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545715,u2907,RIKER,"We all are, Data. But we're going to get him back."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545714,u2899,DATA,I am quite...preoccupied with concern about Geordi.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545713,u2907,RIKER,Looks like you're stuck with emotions for a while. How do you feel?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545544,u2907,RIKER,The station complement was nineteen.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545543,u2899,DATA,"Sensors show five life signs aboard the station, Captain."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545488,u2900,DEMORA,There's some buckling on the starboard nacelle.  We've also got a hull breach in the Engineering section. Emergency forcefields are in place and holding.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545487,u2902,HARRIMAN,"You did it, Kirk!  Damage report, Ensign."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545475,u2902,HARRIMAN,I'll go. You have the Bridge.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545474,u2900,DEMORA,"Deck 15, section 21-alpha."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545433,u2902,HARRIMAN,Beam them directly to Sickbay.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545432,u2900,DEMORA,"We're within range, sir."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545407,u2902,HARRIMAN,On screen.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545406,u2900,DEMORA,"We're within visual range of the energy distortion, Captain."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545402,u2902,HARRIMAN,Signal the closest starship. We're in no condition to mount a rescue. We don't even have a full crew aboard.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545401,u2900,DEMORA,The ships are bearing at 3-1-0 mark 2-1-5. Distance: three light years.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545400,u2902,HARRIMAN,Can you locate them?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545984,u2901,GUINAN,"I can't leave. I'm already there, remember?"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545983,u2906,PICARD,"You're right. I'll need help.  Guinan, will you come back with me? Together, we could-"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545982,u2901,GUINAN,What makes you think things will be any different this time?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545981,u2906,PICARD,"I know exactly where I want to go, and when. Back to that mountaintop on Veridian III, before Soran put out the star. I have to stop him."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545980,u2901,GUINAN,"I told you, time has no meaning here. If you leave, you can go anywhere, any time."
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545979,u2906,PICARD,I don't understand.
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545978,u2901,GUINAN,"Yes, where would you go?"
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545977,u2906,PICARD,Can I?
m191,star trek: generations,1994,6.50,26662,"['action', 'mystery', 'sci-fi', 'thriller']",L545976,u2901,GUINAN,Why would you want to leave?
