docname,from,to,pre,keyword,post,pattern
周杰倫_Mine Mine.txt,34,34,： 周 杰 倫 沒有,你的,生活 我 開始 寫 小說,*你*
周杰倫_Mine Mine.txt,49,49,我要 把 稿費 都 給,你,巷口 不小心 經過 你的 車,*你*
周杰倫_Mine Mine.txt,53,53,給 你 巷口 不小心 經過,你的,車 子 依舊 停在 紅線,*你*
周杰倫_Mine Mine.txt,60,60,子 依舊 停在 紅線 幫,你,繳 罰單 你 叫 我,*你*
周杰倫_Mine Mine.txt,63,63,紅線 幫 你 繳 罰單,你,叫 我 別 管 我,*你*
周杰倫_Mine Mine.txt,86,86,那 不是 那是 冬天 想起,你,生氣 的 臉 每天 就像,*你*
周杰倫_Mine Mine.txt,95,95,每天 就像 冬天 唉 唉唉,你說,那是 愛 愛 愛 誰,*你*
周杰倫_Mine Mine.txt,114,114,了 誰 是誰 都會 依賴,你說,已 分 開 為什麼 還要,*你*
周杰倫_Mine Mine.txt,121,121,分 開 為什麼 還要 幫,你,撐傘 Cuz baby you are,*你*
周杰倫_Mine Mine.txt,151,151,就 承認 我 真的 很想,你,會不會 沒有 男子 氣概 You,*你*
周杰倫_Mine Mine.txt,181,181,) 拆開 我的 心 隨,你,看 滿滿 的 都是 愛,*你*
周杰倫_Mine Mine.txt,191,191,愛 我的 眼皮跳 一下 代表,你在,想 我 我的 耳朵 癢,*你*
周杰倫_Mine Mine.txt,199,199,我的 耳朵 癢 一下 代表,你在,講 我 壞話 我沒 這麼,*你*
周杰倫_Mine Mine.txt,217,217,如果 以後 和 好了 看到,你,朋友 不是 很 尷尬 想起,*你*
周杰倫_Mine Mine.txt,233,233,那 不是 那是 冬天 想起,你,生氣 的 臉 每天 就像,*你*
周杰倫_Mine Mine.txt,242,242,每天 就像 冬天 唉 唉唉,你說,那是 愛 愛 愛 騙,*你*
周杰倫_Mine Mine.txt,262,262,小說 根本 是 空白 黑夜,你說,既然 已 分 開 為何,*你*
周杰倫_Mine Mine.txt,270,270,分 開 為何 還要 幫,你,撐傘 嘜 嘜 你 嘜,*你*
周杰倫_Mine Mine.txt,274,274,幫 你 撐傘 嘜 嘜,你,嘜 擱 嘜 擱 偷偷,*你*
周杰倫_Mine Mine.txt,283,283,擱 偷偷 離開 嘜 嘜,你,嘜 擱 嘜 擱 偷偷,*你*
周杰倫_Mine Mine.txt,295,295,嘜 驚 我 不會 放,你,一人 治 那 你想 祙,*你*
周杰倫_Mine Mine.txt,299,299,放 你 一人 治 那,你想,祙 有人 靠 有人 會,*你*
周杰倫_Mine Mine.txt,308,308,有人 會 疼 嘜 吶,你,雨傘 雨傘 趕緊 打開 嘜,*你*
周杰倫_Mine Mine.txt,315,315,雨傘 趕緊 打開 嘜 吶,你,雨傘 雨傘 趕緊 打開 嘜,*你*
周杰倫_Mine Mine.txt,324,324,打開 嘜 鬧 落 大雨,你,淋雨 我 艱苦 落 大雨,*你*
周杰倫_Mine Mine.txt,331,331,我 艱苦 落 大雨 我沒,你會,艱苦 Cuz baby you are,*你*
周杰倫_Mine Mine.txt,361,361,就 承認 我 真的 很想,你,會不會 沒有 男子 氣概 You,*你*
周杰倫_Mine Mine.txt,370,370,氣概 You say 嘜 吶,你,雨傘 雨傘 趕緊 打開 嘜,*你*
周杰倫_Mine Mine.txt,377,377,雨傘 趕緊 打開 嘜 吶,你,雨傘 雨傘 趕緊 打開 嘜,*你*
周杰倫_Mine Mine.txt,386,386,打開 嘜 鬧 落 大雨,你,淋雨 我 艱苦 落 大雨,*你*
周杰倫_Mine Mine.txt,393,393,我 艱苦 落 大雨 我沒,你會,艱苦 會 艱苦 . .,*你*
周杰倫_Mine Mine.txt,452,452,00 : 18.75 ] 沒有,你的,生活 我 開始 寫 小說,*你*
周杰倫_Mine Mine.txt,472,472,我要 把 稿費 都 給,你,[ 00 : 27.25 ],*你*
周杰倫_Mine Mine.txt,481,481,27.25 ] 巷口 不小心 經過,你的,車 子 依舊 停在 紅線,*你*
周杰倫_Mine Mine.txt,488,488,子 依舊 停在 紅線 幫,你,繳 罰單 [ 00 :,*你*
周杰倫_Mine Mine.txt,496,496,[ 00 : 31.22 ],你,叫 我 別 管 我,*你*
周杰倫_Mine Mine.txt,534,534,00 : 40.06 ] 想起,你,生氣 的 臉 每天 就像,*你*
周杰倫_Mine Mine.txt,548,548,: 44.00 ] 唉 唉唉,你說,那是 愛 愛 愛 [,*你*
周杰倫_Mine Mine.txt,582,582,[ 01 : 01.19 ],你說,已 分 開 為什麼 還要,*你*
