hit,le_qilai_n,no_le_n,qilai_le_n,sum
结合,64,14822,56,14942
 看,36,5705,3,5744
发展,22,2704,120,2846
联系,55,2516,28,2599
 站,441,1968,179,2588
行动,22,2122,44,2188
建立,18,1848,139,2005
组织,7,1369,14,1390
 听,3,1289,0,1292
成长,13,1201,38,1252
统一,10,1134,17,1161
 说,19,1062,3,1084
 想,10,856,132,998
 做,18,891,38,947
联合,4,858,6,868
 笑,356,487,16,859
 多,362,241,82,685
连接,12,593,11,616
 爬,34,562,16,612
团结,3,602,6,611
集中,5,521,6,532
调动,34,426,60,520
 好,58,421,39,518
开展,7,460,32,499
 吃,40,448,1,489
 跳,145,325,12,482
活跃,36,396,28,460
 富,16,344,34,394
对立,5,373,8,386
 叫,102,225,10,337
 读,12,324,1,337
 动,25,274,33,332
富裕,7,301,14,322
 建,15,233,55,303
利用,4,280,5,289
 哭,171,97,19,287
 抓,37,206,37,280
 打,51,175,41,267
 响,120,108,27,255
先富,5,242,8,255
紧张,20,223,11,254
成熟,5,244,5,254
 合,2,244,1,247
 坐,75,161,10,246
动员,5,226,14,245
 藏,50,163,27,240
热闹,37,167,28,232
收集,1,225,1,227
 亮,60,139,24,223
组合,1,209,2,212
 算,3,200,0,203
