V,X,n
携,手,1944
抬,头,1696
站,身,910
关,门,892
走,路,674
说,话,628
挂,钩,483
鼓,掌,373
做,事,282
负,责任,275
拿,笔,251
动,手,238
打,仗,210
举,手,203
下,雨,183
唱,歌,150
讲,话,145
提,笔,143
讲,课,126
联,手,119
打,精神,110
聊,天,106
不,腰,98
打,架,92
办,事,90
干,工作,88
坐,身,79
不,精神,74
跳,舞,70
在,，,65
早,不,63
做,事情,62
放,火,59
跳,身,58
也,不,57
仰,头,57
就,不,55
昂,头,55
立,身,55
上,课,52
发,脾气,52
谈,话,48
读,书,47
端,碗,46
直,腰,45
做,工作,44
写,文章,43
拿,书,42
发,火,41
拍,手,39
一,，,38
看,书,38
花,钱,38
喝,酒,37
开,车,36
开,玩笑,33
较,真,33
都,不,33
鼓,勇气,33
上,不,32
做,题,32
干,事,32
打,官司,32
爬,身,31
生,气,30
，,不,29
一,努力,29
吵,架,29
地,不,29
抬,手,29
是,不,29
听,课,27
想,什么,27
做,，,26
发,怒,26
打,球,26
撒,娇,25
下,雪,24
想,他,24
挺,胸,24
提,精神,24
写,字,23
吃,东西,23
打,瞌睡,23
直,身,23
骂,人,23
承,责任,22
玩,游戏,22
一,共同,21
做,生意,21
拿,枪,21
负,责,21
发,烧,20
合,伙,20
打,坐,20
抽,烟,20
诉,苦,20
打,鼓,19
拉,手,19
比,他们,19
演,戏,19
想,我,18
跃,身,18
一,再,17
动,笔,17
叫,屈,17
干,活,17
干,活儿,17
打,滚,17
一,合作,16
不,，,16
写,作文,16
发,愁,16
扬,头,16
竖,耳朵,16
一,继续,15
做,实验,15
做,小说,15
开,会,15
想,她,15
抬,脚,15
认,真,15
谈,恋爱,15
不,兴趣,14
发,狠,14
地,雨,14
得,不,14
想,你,14
找,工作,14
一,工作,13
做,动作,13
半,不,13
打,比赛,13
打,电话,13
牵,手,13
讲,故事,13
作,法,12
做,梦,12
写,诗,12
发,病,12
拿,刀,12
拿,电话,12
杀,人,12
板,脸,12
流,泪,12
犯,愁,12
画,画,12
睡,觉,12
跳,脚,12
举,杯,11
办,案,11
又,不,11
发,呆,11
发,疯,11
吃,醋,11
吸,烟,11
吹,牛,11
天,雨,11
对,话,11
我,不,11
抬,脸,11
抬,身,11
拍,照,11
提,他,11
提,诉讼,11
根,不,11
生,病,11
说,英语,11
一,动手,10
下,棋,10
仰,脸,10
包,饺子,10
打,交道,10
打,人,10
抬,眼,10
担,责任,10
拍,戏,10
敲,鼓,10
点,灯,10
爬,山,10
看,电视,10
造,反,10
举,刀,9
买,东西,9
做,学问,9
做,题目,9
办,事情,9
发,喊,9
发,牢骚,9
叫,好,9
叫,苦,9
合,掌,9
学,英语,9
开,工作,9
挂,勾,9
握,手,9
斗,嘴,9
板,面孔,9
比,我们,9
瞪,眼,9
谈,他,9
踮,脚,9
连,手,9
配,套,9
一,不,8
一,使用,8
做,作业,8
做,文章,8
写,小说,8
协,手,8
发,高烧,8
总,不,8
想,了,8
想,近年,8
扫,地,8
拿,武器,8
挺,身,8
接,吻,8
比,以前,8
种,树,8
问,我,8
一,上,7
一,用心,7
下,大雨,7
作,画,7
作,诗,7
做,家务,7
写,作业,7
即,，,7
发,言,7
叹,气,7
吃,肉,7
吹,口哨,7
咬,人,7
想,刚,7
感,兴趣,7
打,呼噜,7
打,字,7
打,招呼,7
找,东西,7
振,精神,7
挺,腰,7
挽,手,7
捧,书,7
掀,盖头,7
搭,话,7
摇,头,7
比,你,7
比,我,7
比,过去,7
泡,茶,7
用,钱,7
皱,眉头,7
种,地,7
端,酒,7
考,试,7
讲,理论,7
说,我,7
说,近年,7
说,这些,7
谈,工作,7
较,真儿,7
钓,鱼,7
鼓,劲,7
一,先,6
一,用,6
不,兴致,6
做,科研,6
关,我,6
到,不,6
唱,山歌,6
唱,戏,6
喝,水,6
在,共同,6
处,事情,6
天,不,6
崛,”,6
开,店,6
念,书,6
想,初,6
想,这个,6
扬,手,6
拿,书本,6
挺,胸膛,6
挺,腰杆,6
比,去年,6
比,美国,6
翻,身,6
能,得,6
训,人,6
讲,道理,6
说,，,6
说,普通话,6
跑,路,6
踮,脚尖,6
顶,牛,6
一,同,5
一,而,5
下,不,5
下,手,5
不,什么,5
不,头,5
不,身,5
为,不,5
举,枪,5
伤,心,5
伸,手,5
做,报告,5
做,研究,5
傅,身,5
写,书,5
写,论文,5
减,肥,5
动,武,5
发,狂,5
同,他,5
吟,诗,5
吵,嘴,5
哼,歌,5
喝,茶,5
回,问题,5
安,我,5
干,架,5
年,不,5
恨,自己,5
想,他们,5
想,它,5
打,赌,5
扬,脸,5
批,人,5
抬,腿,5
抱,我,5
拉,家常,5
拾,笔,5
拿,法律,5
拿,狗,5
提,兴趣,5
提,脚,5
比,她,5
永,不,5
照,相,5
皱,眉,5
答,题,5
老,不,5
说,他,5
说,这个,5
说,道理,5
谈,心,5
谈,近年,5
走,山路,5
踢,球,5
过,日子,5
通,信,5
速,不,5
邪,身,5
闭,眼睛,5
问,他,5
饮,酒,5
一,。,4
一,下楼,4
一,服用,4
一,联手,4
一,过,4
不,”,4
不,名字,4
不,我,4
不,精力,4
交,手,4
做,买卖,4
做,游戏,4
偷,懒,4
兴,，,4
写,东西,4
出,轨,4
动,粗,4
动,脑筋,4
卧,不,4
却,不,4
另,炉灶,4
吐,血,4
响,，,4
喝,汤,4
备,课,4
夸,自己,4
学,汉语,4
崛,，,4
崛,而,4
干,农活,4
干,坏事,4
建,联系,4
开,火,4
当,老师,4
忙,工作,4
怀,自己,4
怜,她,4
怪,我,4
患,病,4
想,家,4
想,这些,4
打,乒乓球,4
打,她,4
打,拍子,4
扭,秧歌,4
抱,她,4
拿,毛笔,4
拿,相机,4
拿,碗,4
拿,筷子,4
挥,手,4
损,人,4
授,课,4
提,你,4
提,刀,4
揭,裙子,4
搞,研究,4
摆,架子,4
撒,野,4
教,书,4
比,今天,4
比,他,4
比,别人,4
比,现在,4
比,赛,4
比,近年,4
比,这些,4
洗,衣服,4
炒,股,4
点,头,4
爬,床,4
犯,难,4
玩,捉迷藏,4
的,不,4
看,报纸,4
看,电影,4
眯,眼,4
眯,眼睛,4
着,不,4
磕,头,4
磨,墨,4
穿,衣服,4
穿,西装,4
端,杯子,4
端,枪,4
端,茶,4
练,功,4
翘,脚,4
耕,地,4
要,钱,4
讲,笑话,4
论,实力,4
说,自己,4
读,课文,4
谈,大学,4
谈,天,4
谈,生意,4
赌,钱,4
还,不,4
逛,街,4
闹,事,4
闹,情绪,4
闹,鬼,4
顶,嘴,4
飘,雨,4
飘,雪,4
飘,雪花,4
骂,我,4
鼓,干劲,4
、,不,3
。,首,3
K,歌,3
一,",",3
一,交上,3
一,分,3
一,分配,3
一,学习,3
一,携手,3
一,煮,3
一,玩,3
一,请,3
一,近年,3
一,配合,3
一,鼓掌,3
下,毛毛雨,3
下,笔,3
不,他,3
不,心,3
不,架,3
不,气,3
个,落,3
中,，,3
中,身,3
买,书,3
人,气,3
介,自己,3
仰,坐,3
价,不,3
伸,头,3
作,乱,3
作,怪,3
佩,她,3
做,坏事,3
做,广告,3
做,手术,3
做,诗,3
做,项目,3
做,预算,3
关,他,3
关,房门,3
冒,烟,3
写,词,3
击,鼓,3
划,拳,3
办,实事,3
即,凡,3
即,可,3
发,恼,3
发,议论,3
叫,他,3
可,不,3
吃,药,3
同,他们,3
听,故事,3
吹,牛皮,3
哭,鼻子,3
唠,家常,3
唱,国歌,3
喊,冤,3
喘,气,3
嘟,嘴,3
回,初,3
回,过去,3
回,近年,3
因,不,3
在,用,3
垫,脚尖,3
培,兴趣,3
堆,笑,3
奏,乐,3
始,不,3
学,东西,3
学,技术,3
害,怕,3
害,病,3
对,歌,3
已,不,3
带,头,3
年,，,3
开,口,3
引,了,3
引,近年,3
当,导演,3
当,真,3
得,钱,3
念,佛,3
念,咒语,3
念,经,3
怎,得,3
怜,他,3
想,，,3
想,你们,3
想,儿子,3
想,在,3
想,自己,3
打,哈欠,3
打,拳,3
打,篮球,3
打,麻将,3
扣,球,3
执,笔,3
扬,笑容,3
扯,呼噜,3
扶,她,3
批,个性,3
批,学生,3
抬,身子,3
担,不,3
拉,他,3
拉,磨,3
拉,车,3
拌,嘴,3
拍,巴掌,3
拍,掌,3
拍,照片,3
拿,它,3
拿,茶杯,3
拿,话筒,3
拿,酒,3
挖,地,3
挽,袖子,3
捞,鱼,3
捡,笔,3
探,头,3
接,电话,3
提,劲,3
提,她,3
提,手,3
揭,被,3
搞,活动,3
搞,腐败,3
搭,帐篷,3
搭,棚子,3
撑,身,3
擂,鼓,3
操,心,3
擦,皮鞋,3
收,费,3
收,钱,3
放,枪,3
放,羊,3
放,鞭炮,3
教,学生,3
教,我,3
整,人,3
斟,酒,3
明,不,3
杨,肩膀,3
杨,身,3
树,威信,3
梳,头,3
植,树,3
比,中国,3
比,内地,3
比,刚,3
比,前辈,3
比,北京,3
比,城市,3
比,她们,3
比,成年人,3
比,欧洲,3
比,母亲,3
比,男性,3
水,”,3
洗,脚,3
洗,脸,3
消,不,3
滑,雪,3
炒,菜,3
点,蜡烛,3
烧,香,3
烫,酒,3
燃,大火,3
燃,火,3
爬,坡,3
玩,电脑,3
盘,腿,3
看,球,3
着,急,3
硬,心肠,3
种,田,3
穿,旗袍,3
端,杯,3
答,卷子,3
算,总账,3
管,我,3
组,活动,3
编,故事,3
羡,他,3
羡,她,3
翘,腿,3
翻,书,3
耍,脾气,3
耍,赖,3
联,近年,3
肩,责任,3
肯,不,3
舞,龙,3
落,泪,3
蒙,头,3
记,单词,3
记,她,3
讲,英语,3
说,什么,3
说,原因,3
说,她,3
说,干部,3
说,戏,3
说,汉语,3
说,相声,3
说,笑话,3
说,英文,3
读,句子,3
谈,中国,3
谈,它,3
谈,文,3
谈,这个,3
跑,不,3
这,事件,3
里,不,3
闭,眼,3
闭,门,3
问,她,3
闻,鼻烟,3
集,精神,3
骑,车,3
骗,人,3
―,――,2
“,不,2
V,NP,2
一,）,2
一,上台,2
一,买,2
一,作用,2
一,协同,2
一,参与,2
一,回家,2
一,坐车,2
一,往前,2
一,成长,2
一,抱团,2
一,拉,2
一,挑,2
一,捉,2
一,搭配,2
一,收集,2
一,泡,2
一,相约,2
一,立,2
一,讨论,2
一,走,2
一,都,2
一,铲起,2
上,楼,2
上,班,2
下,冰雹,2
下,暴雨,2
不,。,2
不,人,2
不,勇气,2
不,床,2
不,房,2
不,朝,2
不,枪,2
不,桥,2
不,神,2
不,腰杆,2
不,词,2
不,责任,2
不,身子,2
主,不,2
举,例,2
举,头,2
举,杖,2
举,笔,2
买,彩票,2
了,不,2
交,朋友,2
产,不,2
享,生活,2
人,不,2
仆,茶,2
今,再,2
他,不,2
会,不,2
传,更,2
估,分,2
体,人,2
作,反,2
作,恶,2
作,报告,2
作,词,2
你,不,2
做,。,2
做,业务,2
做,方丈,2
做,爱,2
做,皇帝,2
做,示范,2
做,笔记,2
做,简历,2
做,算术,2
做,革命党,2
先,身,2
先,这个,2
关,人,2
兴,而,2
养,猪,2
养,神,2
写,书稿,2
写,作品,2
写,信,2
写,回忆录,2
写,戏,2
写,散文,2
写,文字,2
写,日记,2
写,稿件,2
写,简历,2
写,诗歌,2
写,随笔,2
凑,钱,2
分,类,2
分,钱,2
分,问题,2
划,桨,2
划,船,2
列,队,2
刷,墙,2
刻,字,2
办,案子,2
办,税,2
加,油,2
加,速,2
升,火,2
卖,关子,2
印,名片,2
即,赶快,2
卷,袖子,2
反,胃,2
反,自己,2
发,井冈春,2
发,光,2
发,威势,2
发,急,2
发,方向,2
发,毛,2
发,热,2
发,电,2
发,端,2
发,笑,2
发,财,2
叫,我,2
叫,板,2
叫,真儿,2
叮,人,2
吃,工具,2
吃,糖,2
吃,面,2
吃,鱼,2
合,拍,2
同,她,2
吓,人,2
吸,毒,2
吹,火,2
和,不,2
哭,天,2
唤,人,2
唤,他,2
唤,诗人,2
唱,儿歌,2
唱,情歌,2
唱,春,2
唱,曲,2
唱,校歌,2
啄,米,2
喊,口号,2
喝,威士忌,2
喝,香片,2
嘲,自己,2
四,案件,2
回,刚,2
回,当时,2
在,商量,2
在,综合,2
地,头,2
地,手,2
地,歉,2
地,雪,2
坐,家,2
坐,身子,2
埋,我,2
堆,笑容,2
处,案件,2
处,问题,2
大,钱玄同,2
夸,我,2
奏,音乐,2
套,交情,2
学,，,2
学,专业课,2
学,中文,2
学,医,2
学,数学,2
学,日语,2
