collocate,value,ideo,period
灼灼,0.3655659920542314,灼灼,ming
夭夭,0.03409899274003986,灼灼,ming
桃之夭夭,0.033333000726576544,灼灼,ming
煮,0.024474817799649728,灼灼,ming
其華,0.023996013400375,灼灼,ming
如此,0.02391074568295132,灼灼,ming
又,0.023745492852465574,灼灼,ming
離離,0.022808279159635444,灼灼,ming
在,0.02268445452745148,灼灼,ming
不,0.022247812303365574,灼灼,ming
亭亭,0.022042452029288177,灼灼,ming
輝輝,0.02190866618442596,灼灼,ming
耳目,0.021386297666454092,灼灼,ming
宜家,0.019717506080646083,灼灼,ming
遮詩,0.019462121206003158,灼灼,ming
依依,0.01915130587275414,灼灼,ming
上,0.019082912088800332,灼灼,ming
當在,0.019027502129292138,灼灼,ming
逶,0.01893026247287764,灼灼,ming
其華易林,0.01876382294002634,灼灼,ming
油,0.018762191430945246,灼灼,ming
允修,0.01833028948272084,灼灼,ming
轟轟,0.01827598078334442,灼灼,ming
藍公,0.018268768718684204,灼灼,ming
青龍喜,0.018207678595492917,灼灼,ming
亮,0.018164550889692876,灼灼,ming
人,0.018102015609543633,灼灼,ming
形體,0.018095996197101855,灼灼,ming
金光,0.018054010397577307,灼灼,ming
春桃,0.01803495633385356,灼灼,ming
萋萋,0.017996000327215215,灼灼,ming
若欲閉,0.017994896644709116,灼灼,ming
爾,0.01794507834002652,灼灼,ming
吸呼,0.01793190360631829,灼灼,ming
是,0.01786775875502298,灼灼,ming
明中,0.017819974909346246,灼灼,ming
詩濯,0.01776669085509985,灼灼,ming
有,0.017721774786358314,灼灼,ming
焰輝,0.017676989981291677,灼灼,ming
紅光亂,0.017665211281404216,灼灼,ming
三事,0.017638142700910714,灼灼,ming
雷電,0.01741464660117721,灼灼,ming
爾清,0.01737869776224894,灼灼,ming
聖震動,0.017308563418176708,灼灼,ming
開紅春,0.01730363817169085,灼灼,ming
繁華燁,0.01728470313938027,灼灼,ming
滿縣,0.017219426133176112,灼灼,ming
結實夏,0.01720208245862454,灼灼,ming
生華季,0.017197498612426296,灼灼,ming
風任,0.017025312717321012,灼灼,ming
風裁,0.01701510778235577,灼灼,ming
令熱,0.016986576404008694,灼灼,ming
往來,0.01679353938025799,灼灼,ming
時鳥鳴,0.016743869216542268,灼灼,ming
錦袍,0.016728146351939466,灼灼,ming
姿玉為,0.016727955858644113,灼灼,ming
與,0.01671545325323103,灼灼,ming
明素鷺,0.016655758199393904,灼灼,ming
自視,0.016642354293040392,灼灼,ming
而燿野煒,0.016572147886501732,灼灼,ming
踸,0.01653419930134536,灼灼,ming
霹靂,0.016519450989730074,灼灼,ming
風飄仙,0.016511912011953022,灼灼,ming
浮萍,0.016479756816798398,灼灼,ming
手足,0.01646912869534381,灼灼,ming
白虎,0.01644338177421065,灼灼,ming
傍蓮池,0.016412416579376764,灼灼,ming
餘蓮紅,0.016397185269422535,灼灼,ming
紅榴吐何,0.016356663436981427,灼灼,ming
其榮,0.016353486522664745,灼灼,ming
圓成光,0.016352154282171478,灼灼,ming
錦莫周,0.01631682729878551,灼灼,ming
無若,0.01628384936702513,灼灼,ming
虛空外,0.01625035171301761,灼灼,ming
牝丹,0.016122498248663308,灼灼,ming
惡赤蛇,0.016105134220703646,灼灼,ming
一升,0.016099274587245437,灼灼,ming
目思見,0.01607470250524679,灼灼,ming
禛,0.01600411896681697,灼灼,ming
鐵龍,0.01600005521800751,灼灼,ming
嚶嚶,0.015922132935732115,灼灼,ming
芙蓉,0.015907608982024105,灼灼,ming
。,0.015891660714885326,灼灼,ming
雄威,0.01588736389522609,灼灼,ming
踔,0.01588339749937405,灼灼,ming
神翁,0.015813651475356752,灼灼,ming
泥丸,0.015775754716942512,灼灼,ming
罪福,0.015768812661773126,灼灼,ming
丹華吐日,0.015755494132527054,灼灼,ming
爭顰翠蛾,0.015730096457736282,灼灼,ming
半水,0.015726414251339207,灼灼,ming
朱實繁,0.015694672886197608,灼灼,ming
心娱,0.015685507605163594,灼灼,ming
翠葉,0.015629834707724864,灼灼,ming
争顰翠蛾,0.015577975780393147,灼灼,ming
攀心鏡,0.015534267149269344,灼灼,ming
朱華煒,0.015521012999988244,灼灼,ming
去,0.015499964137179047,灼灼,ming
時間,0.015493075648189258,灼灼,ming
明明,0.0154918470151101,灼灼,ming
中而,0.015486052220218306,灼灼,ming
仙仗,0.015473688348325175,灼灼,ming
無苦,0.015418036017854865,灼灼,ming
自口,0.015401352300648414,灼灼,ming
芬葩,0.01538637028216518,灼灼,ming
甚明,0.015380281767520375,灼灼,ming
取鹽,0.015378573150618108,灼灼,ming
及,0.015357639917356494,灼灼,ming
上火,0.015353460249429497,灼灼,ming
熱無,0.01531920472992062,灼灼,ming
來,0.015299698926321114,灼灼,ming
如雨,0.015283188210838952,灼灼,ming
盤礴,0.015270781524713858,灼灼,ming
愛棲趾,0.015246691688878692,灼灼,ming
照破舊,0.015226224771055561,灼灼,ming
閼伯火律,0.015184727550550711,灼灼,ming
交橫,0.015184727550550708,灼灼,ming
順手,0.015164081794913123,灼灼,ming
紅缸,0.015157096519195223,灼灼,ming
季女,0.015112103345715675,灼灼,ming
震宮,0.015103212481372903,灼灼,ming
塵生,0.015054739349996151,灼灼,ming
二粒,0.015054655949078835,灼灼,ming
纏定,0.014997149619453478,灼灼,ming
聲響,0.014989383286430218,灼灼,ming
綠葉,0.0149757263143493,灼灼,ming
完丹藥,0.014970954508223538,灼灼,ming
滿溪紅,0.014970310639264975,灼灼,ming
媾紅爐,0.014944196414241032,灼灼,ming
雷公,0.014895597954936774,灼灼,ming
為,0.014878547474572701,灼灼,ming
可佳,0.014870587456871302,灼灼,ming
而揚,0.01484480737009719,灼灼,ming
竹杖名,0.014843381046145363,灼灼,ming
以漬痛,0.01483169125735349,灼灼,ming
鐵虎,0.014818799790138358,灼灼,ming
以漬,0.014801155323831219,灼灼,ming
蓁蓁,0.014795740044927647,灼灼,ming
虛心,0.014775640878998166,灼灼,ming
湯令,0.014772804149383369,灼灼,ming
迤漢宫,0.014766903168028032,灼灼,ming
迤漢宮,0.014759342247085036,灼灼,ming
出遍,0.014731194194110104,灼灼,ming
金花,0.014723331595020669,灼灼,ming
周,0.014721330091727583,灼灼,ming
看鷺飛,0.014710145907007472,灼灼,ming
飛浮,0.014692232158530156,灼灼,ming
輕車,0.01466118428980224,灼灼,ming
葵榴開鶴徑,0.014648821850496875,灼灼,ming
北角,0.014616889671594715,灼灼,ming
酡,0.01460849792238403,灼灼,ming
之忠節,0.014605263109171741,灼灼,ming
桃片,0.014585678646449616,灼灼,ming
拈來,0.014575375158058233,灼灼,ming
花,0.014561405401086155,灼灼,ming
雷部,0.014546420146570179,灼灼,ming
中,0.014534343977963816,灼灼,ming
覆錦魚,0.014530230100571985,灼灼,ming
如雲中,0.01452464387532165,灼灼,ming
節生,0.014515676050148415,灼灼,ming
惟願後世明,0.01449762112802501,灼灼,ming
無所苦,0.014475689847074721,灼灼,ming
逐漪,0.014472032354234643,灼灼,ming
紅,0.014469668737306075,灼灼,ming
則已,0.014392437076444916,灼灼,ming
偉矣,0.0143894669394326,灼灼,ming
寒無滄滄寒,0.014358284365702804,灼灼,ming
無著節,0.01434636369322732,灼灼,ming
林草,0.014324921014272098,灼灼,ming
寇仇,0.014315623105258066,灼灼,ming
兩足,0.014315610329026182,灼灼,ming
濃熱,0.014302575231758399,灼灼,ming
不動片,0.01427885093490991,灼灼,ming
昏衢,0.01427360319408587,灼灼,ming
寶甲,0.014240636486218889,灼灼,ming
著天,0.014233410465344655,灼灼,ming
之樹煥,0.014223056782641443,灼灼,ming
祥風正,0.014197347466855853,灼灼,ming
華敷,0.014181421687030593,灼灼,ming
逶迤,0.014160922346644764,灼灼,ming
明玉清樂,0.014156706714225344,灼灼,ming
，,0.014132109124201325,灼灼,ming
花元,0.01412242217853766,灼灼,ming
滿壇場,0.014117678416688033,灼灼,ming
遊靈景何,0.014115183575162392,灼灼,ming
近觀,0.01409504465176228,灼灼,ming
無邊,0.01406051232855949,灼灼,ming
神修,0.014047888865088743,灼灼,ming
榮瑞兹,0.014011174536279425,灼灼,ming
直下長,0.014006658149350816,灼灼,ming
𩄇,0.013980718600136728,灼灼,ming
姧,0.013980648945910537,灼灼,ming
矢逝,0.013978585118533064,灼灼,ming
見,0.013965747557870995,灼灼,ming
運如,0.01395743785410163,灼灼,ming
可見者,0.013947107378217825,灼灼,ming
天鼓,0.013946863022166514,灼灼,ming
處效,0.013939853370455854,灼灼,ming
連空響,0.013938212356516473,灼灼,ming
荷綠,0.013909602308671028,灼灼,ming
火,0.013885970292726679,灼灼,ming
高射,0.013867386046804734,灼灼,ming
宋文,0.013847235932852567,灼灼,ming
兩手,0.013843640558216545,灼灼,ming
花言,0.013821137563078454,灼灼,ming
賞者,0.013817344406044737,灼灼,ming
一斗,0.013805329996008654,灼灼,ming
牧野,0.01380328209468444,灼灼,ming
桃有華,0.013797582629891511,灼灼,ming
火自生,0.013712881825731351,灼灼,ming
眩紅,0.013712855000503921,灼灼,ming
烏龜殼,0.01370827053256299,灼灼,ming
暫死食,0.013704551994561276,灼灼,ming
其華其,0.013696420999696163,灼灼,ming
添新雨,0.013680387841198974,灼灼,ming
旗竿,0.013668398043776666,灼灼,ming
然熱以,0.013661906110721747,灼灼,ming
襯戰,0.013657594679814491,灼灼,ming
令濃,0.013646119432083728,灼灼,ming
胸脅者,0.013642582865073236,灼灼,ming
一派,0.013635897461186645,灼灼,ming
似流,0.013635897461186642,灼灼,ming
元精,0.013635897461186642,灼灼,ming
凝祥匿幻,0.013635897461186642,灼灼,ming
陰渾,0.013635897461186638,灼灼,ming
時保寧堡,0.013630298009600144,灼灼,ming
綠泉,0.013611682803715667,灼灼,ming
食飲者,0.013600438796889432,灼灼,ming
布囊,0.013593344859379932,灼灼,ming
；,0.013581699581982926,灼灼,ming
眉間,0.01357694698631235,灼灼,ming
方以,0.013567419080730525,灼灼,ming
鼕鼕,0.013564364536221007,灼灼,ming
獨目,0.013553318511790102,灼灼,ming
代柳,0.013552681989026075,灼灼,ming
衣替,0.013548691033759162,灼灼,ming
佇鼎,0.013525580759902827,灼灼,ming
金甲,0.013505361866384137,灼灼,ming
紛錯,0.013503661305928632,灼灼,ming
諸書,0.013479600025118544,灼灼,ming
那燈,0.013473919937064057,灼灼,ming
惟桃,0.01346115369404427,灼灼,ming
節節,0.013459354377509771,灼灼,ming
熱湯令,0.013457848955858945,灼灼,ming
如光,0.013439163303529312,灼灼,ming
之纖枝,0.013429307167889726,灼灼,ming
舒百齡,0.013424314655682557,灼灼,ming
盛芬華,0.013396873666706619,灼灼,ming
爾漬,0.013372389251684361,灼灼,ming
青藍,0.013371824563346854,灼灼,ming
溫中適,0.013368891210509052,灼灼,ming
照地暉,0.013367913308375345,灼灼,ming
空綠勻,0.013367594761324798,灼灼,ming
名無著,0.013360628250986325,灼灼,ming
簪覺,0.013350682984068125,灼灼,ming
烹成,0.013348931712207924,灼灼,ming
英鵲,0.013327483764498726,灼灼,ming
生玉清樂,0.013319919510401046,灼灼,ming
削之以,0.013319012476192157,灼灼,ming
日,0.013312046960020509,灼灼,ming
香苞,0.01330573621127188,灼灼,ming
聊逢,0.013302511106382139,灼灼,ming
